IdProducto	DescProducto	Conjunto	Familia
@2640821	PLAFON LED ALTON 33CM 840LM	PLAFONES REDONDOS LED INTEGRADO	ILUMINACION Y VENTILADORES
@2530171	PLATO TEXTURA DORADO 33CM	MELAMINA	TEMPORADA
@2530201	PLATO REDONDO DORADO 33CM	MELAMINA	TEMPORADA
@2502348	CASITA INFLABLE BARBIE MALIBU	JUEGOS DE ENTRETENCION INFLABLE	AIRE LIBRE
@2526085	MUG BLANCO FRASES ROJ C/NEG	TAZONES CERAMICA	MENAJE
@2278898	CAJA N4 SPIDERMAN	CAJAS INFANTILES	ORGANIZACIÓN
@346721	LLAMAPLATA MP	PLANTAS SIN FLOR	JARDIN
@2669404	MUNECO BURRO 40 CM	PELUCHES	TEMPORADA
@2624222	PR COFRE TESOR WOW 9X6X8CM	LICENCIAS INFANTILES	ORGANIZACIÓN
@227194X	LIMPIAPIES COCINA ACEITE 50X80	LIMPIAPIES / TAPETE ENTRADA OTROS MAT	DECORACION
@2066599	ESPONJA ACANALADA X4  CLASICA	ESPONJAS/ ESPONJILLAS/ LANAS	ASEO
@1998625	PARRILLA REDONDA DIAM. 41CM	PARRILLA/ASADOR A CARBON	AIRE LIBRE
@1575465	MACETA BOSTON GLOW SILVER 19.	MACETEROS CERAMICA	JARDIN
@2667118	LAVATORIO LLAVE PIAVE PARED	REGADERAS/CABEZALES/PLATO DE DUCHA	 BANOS Y COCINAS
@2095505	COLOMURAL HAS#TAG 9990-1 X 5ML	PAPEL BANO Y COCINA	DECORACION
@134511	PILAR RANURADO DOBLE 64CM BL PILARES	 RIELES Y SOPORTES	ORGANIZACIÓN
@2528584	GATO CON BUFANDA	FIGURAS CERAMICA	TEMPORADA
@2585863	PELOTITAS CON CASCABEL P GATO	JUGUETES GATOS	JARDIN
@2486970	FRAZADA FLANEL AZUL QUEEN	FRAZ FIBRA NATURALES	DECORACION
@2490838	IO PERCHA 3 GANCHOS YORKSHIRE	PERCHEROS DE PARED METALICOS	ORGANIZACIÓN
@1891685	LAMP MESA PARIS	MESA NIQUEL	ILUMINACION Y VENTILADORES
@1686860	O-MALLA VERDE/NEGRA 90% X ML	MALLA SOMBREADORA / MALLASOMBRA	TABIQUERIA/TECHUMBRE/AISLACION
